"Gene","LOF","dmis","mis","syn","dn.LoF","dn.mis3","dn.mis","dn.syn","BF.dn","pval.TADA.dn","qvalue.dn"
"ZNF263",3.14e-06,1.21e-06,2.11e-05,8.52e-06,0,0,0,0,0.497262885585759,0.719625804358406,0.932719281250287
"ZNF385A",2.54e-06,4.31e-06,1.42e-05,6.98e-06,0,0,0,0,0.497235372467504,0.719676093657059,0.932721988941473
"SHCBP1",2.86e-06,2.64e-06,1.82e-05,7.86e-06,0,0,0,0,0.497202600151983,0.719728005191153,0.932724696376858
"ZFAND4",2.84e-06,2.75e-06,1.85e-05,7.33e-06,0,0,0,0,0.497068958230594,0.719779916725247,0.932727404004904
"ARHGAP19",2.79e-06,3.01e-06,1.41e-05,5.43e-06,0,0,1,0,0.497044407050674,0.719830206023901,0.932730111340656
"ACSBG2",2.95e-06,2.19e-06,1.82e-05,8.3e-06,0,0,0,0,0.496960264086069,0.719881036067701,0.932732818649052
"TMEM232",2.97e-06,2.09e-06,1.2e-05,5.14e-06,0,0,1,0,0.496915189636549,0.719932947601795,0.932735525756461
"HMHA1",2.5e-06,4.54e-06,2.61e-05,1.4e-05,0,0,1,0,0.496892695094601,0.719982155410155,0.93273823256258
"PTH2R",2.92e-06,2.35e-06,1.56e-05,6.79e-06,0,0,0,0,0.49683663078076,0.720030822473368,0.932740939216656
"BBS7",3.13e-06,1.29e-06,1.73e-05,6.93e-06,0,0,0,0,0.496670305270644,0.720083274752609,0.932743646208685
